epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5458,1.13469,1.43217,1.23582,0.6574,0.53408,0.61541,0.45878,1.0809,1.12502,1.12586,8.33e-06,8.33e-06,8.33e-06
2,52.1949,1.109,1.3399,1.23706,0.67557,0.55017,0.62928,0.46863,1.07597,1.09182,1.12122,1.76733e-05,1.76733e-05,1.76733e-05
3,78.0288,1.19293,1.38511,1.23435,0.67622,0.57211,0.64671,0.482,1.06708,1.06604,1.11566,2.68281e-05,2.68281e-05,2.68281e-05
4,103.774,1.1582,1.29817,1.21647,0.67445,0.59824,0.66558,0.49411,1.06014,1.04171,1.10853,3.57944e-05,3.57944e-05,3.57944e-05
5,129.475,1.10533,1.22908,1.20375,0.66469,0.63058,0.67748,0.50547,1.05011,1.01376,1.10145,4.45722e-05,4.45722e-05,4.45722e-05
6,154.897,1.1169,1.22724,1.20145,0.68532,0.63425,0.6904,0.5203,1.03721,0.98716,1.09361,5.31615e-05,5.31615e-05,5.31615e-05
7,180.776,1.08401,1.1612,1.17169,0.75586,0.6068,0.70152,0.53048,1.03246,0.96237,1.09081,6.15623e-05,6.15623e-05,6.15623e-05
8,207.337,1.10641,1.15779,1.18101,0.82355,0.60243,0.71355,0.54096,1.02255,0.93488,1.08308,6.97746e-05,6.97746e-05,6.97746e-05
9,234.167,1.08747,1.1571,1.17571,0.83531,0.6065,0.73,0.55369,1.0053,0.90514,1.07425,7.77984e-05,7.77984e-05,7.77984e-05
10,260.441,1.0933,1.13366,1.17714,0.84489,0.61883,0.74447,0.56413,0.99416,0.8805,1.06717,8.56337e-05,8.56337e-05,8.56337e-05
11,286.318,1.0739,1.09728,1.15512,0.78251,0.67362,0.76543,0.5844,0.98921,0.85764,1.06159,9.32805e-05,9.32805e-05,9.32805e-05
12,311.896,1.0299,1.0069,1.1397,0.75575,0.69814,0.77376,0.59271,0.98355,0.8445,1.05585,0.000100739,0.000100739,0.000100739
13,337.671,1.02749,1.00513,1.13766,0.75989,0.69804,0.78159,0.60178,0.9754,0.81721,1.0496,0.000104863,0.000104863,0.000104863
14,363.236,1.01934,1.01461,1.15865,0.77472,0.70798,0.7911,0.61265,0.95612,0.7922,1.04079,0.000103685,0.000103685,0.000103685
15,388.706,1.02648,1.04739,1.13708,0.77148,0.72152,0.80109,0.62038,0.94334,0.78112,1.03467,0.000102507,0.000102507,0.000102507
16,414.701,1.04084,1.0248,1.14958,0.77605,0.73194,0.80953,0.62787,0.93394,0.77113,1.02961,0.000101329,0.000101329,0.000101329
17,440.533,0.9756,0.91118,1.11597,0.761,0.74716,0.8104,0.63317,0.92316,0.75971,1.02608,0.00010015,0.00010015,0.00010015
18,465.814,0.98093,0.92667,1.12784,0.84704,0.70642,0.8117,0.63815,0.91111,0.74694,1.02199,9.89723e-05,9.89723e-05,9.89723e-05
19,491.135,0.95101,0.90594,1.09336,0.85636,0.70473,0.81422,0.64013,0.90704,0.73468,1.01852,9.77942e-05,9.77942e-05,9.77942e-05
20,516.545,0.97908,0.95701,1.12336,0.79508,0.73977,0.81639,0.64035,0.90108,0.72171,1.01523,9.66161e-05,9.66161e-05,9.66161e-05
21,541.903,0.97199,0.90935,1.12352,0.79644,0.76342,0.82182,0.64652,0.89151,0.71127,1.01055,9.5438e-05,9.5438e-05,9.5438e-05
